DatGeracaoConjuntoDados,AnoReferencia,MesReferencia,NomUF,SigUF,MdaPotenciaInstaladakW
4/2/2026,2013,9,BAHIA,BA,9883307
4/2/2026,2013,9,CEARA,CE,2186828
4/2/2026,2013,9,DISTRITO FEDERAL,DF,16178
4/2/2026,2013,9,ESPIRITO SANTO,ES,1872815
4/2/2026,2013,9,GOIAS,GO,10576299
4/2/2026,2013,9,MARANHAO,MA,2802752
4/2/2026,2013,9,MINAS GERAIS,MG,20038178
4/2/2026,2013,9,MATO GROSSO DO SUL,MS,8661915
4/2/2026,2013,9,MATO GROSSO,MT,2804909
4/2/2026,2013,9,PARA,PA,9058286
4/2/2026,2013,9,PARAIBA,PB,641470
4/2/2026,2013,9,PERNAMBUCO,PE,3191201
4/2/2026,2013,9,PIAUI,PI,317136
4/2/2026,2013,9,PARANA,PR,18231871
4/2/2026,2013,9,RIO DE JANEIRO,RJ,8824091
4/2/2026,2013,9,RIO GRANDE DO NORTE,RN,902251
4/2/2026,2013,9,RONDONIA,RO,2005748
4/2/2026,2013,9,RORAIMA,RR,122610
4/2/2026,2013,9,RIO GRANDE DO SUL,RS,9123195
4/2/2026,2013,9,SANTA CATARINA,SC,7295298
4/2/2026,2013,9,SERGIPE,SE,3283199
4/2/2026,2013,9,SÃO PAULO,SP,25041984
4/2/2026,2013,9,TOCANTINS,TO,2988080
4/2/2026,2013,12,ACRE,AC,190896
4/2/2026,2013,12,ALAGOAS,AL,7748087
4/2/2026,2013,12,AMAZONAS,AM,2262845
4/2/2026,2013,12,AMAPA,AP,302549
4/2/2026,2013,12,BAHIA,BA,9885413
4/2/2026,2013,12,CEARA,CE,2607250
4/2/2026,2013,12,DISTRITO FEDERAL,DF,45918
4/2/2026,2013,12,ESPIRITO SANTO,ES,1872815
4/2/2026,2013,12,GOIAS,GO,10578599
4/2/2026,2013,12,MARANHAO,MA,3027829
4/2/2026,2013,12,MINAS GERAIS,MG,20095486
4/2/2026,2013,12,MATO GROSSO DO SUL,MS,8781922
4/2/2026,2013,12,MATO GROSSO,MT,2804909
4/2/2026,2013,12,PARA,PA,9059697
4/2/2026,2013,12,PARAIBA,PB,641470
4/2/2026,2013,12,PIAUI,PI,318115
4/2/2026,2013,12,PARANA,PR,18232699
4/2/2026,2013,12,RIO DE JANEIRO,RJ,8825077
4/2/2026,2013,12,RIO GRANDE DO NORTE,RN,930251
4/2/2026,2013,12,RONDONIA,RO,2144928
4/2/2026,2013,12,RORAIMA,RR,122610
4/2/2026,2013,12,RIO GRANDE DO SUL,RS,9132560
4/2/2026,2013,12,SANTA CATARINA,SC,7459793
4/2/2026,2013,12,SERGIPE,SE,3283199
4/2/2026,2013,12,SÃO PAULO,SP,25165389
4/2/2026,2013,12,TOCANTINS,TO,2988080
4/2/2026,2014,3,ACRE,AC,190896
4/2/2026,2014,3,ALAGOAS,AL,7748087
4/2/2026,2014,3,AMAZONAS,AM,2262845
4/2/2026,2014,3,AMAPA,AP,302549
4/2/2026,2014,3,BAHIA,BA,9885417
4/2/2026,2014,3,CEARA,CE,2671779
4/2/2026,2014,3,DISTRITO FEDERAL,DF,45918
4/2/2026,2014,3,ESPIRITO SANTO,ES,1881234
4/2/2026,2014,3,GOIAS,GO,10579551
4/2/2026,2014,3,MARANHAO,MA,3035229
4/2/2026,2014,3,MINAS GERAIS,MG,20146682
4/2/2026,2014,3,MATO GROSSO DO SUL,MS,8782685
4/2/2026,2014,3,MATO GROSSO,MT,2804909
4/2/2026,2014,3,PARA,PA,9059889
4/2/2026,2014,3,PARAIBA,PB,641470
4/2/2026,2014,3,PERNAMBUCO,PE,3394958
4/2/2026,2014,3,PIAUI,PI,318115
4/2/2026,2014,3,PARANA,PR,18233786
4/2/2026,2014,3,RIO DE JANEIRO,RJ,9052117
4/2/2026,2014,3,RIO GRANDE DO NORTE,RN,1204067
4/2/2026,2014,3,RORAIMA,RR,122610
4/2/2026,2014,3,RIO GRANDE DO SUL,RS,9197636
4/2/2026,2014,3,SANTA CATARINA,SC,7462276
4/2/2026,2014,3,SERGIPE,SE,3283199
4/2/2026,2014,3,SÃO PAULO,SP,25246570
4/2/2026,2014,3,TOCANTINS,TO,2988080
4/2/2026,2014,6,ACRE,AC,190896
4/2/2026,2014,6,ALAGOAS,AL,7749087
4/2/2026,2014,6,AMAZONAS,AM,2262845
4/2/2026,2014,6,AMAPA,AP,302549
4/2/2026,2014,6,BAHIA,BA,9888340
4/2/2026,2014,6,CEARA,CE,2905147
4/2/2026,2014,6,DISTRITO FEDERAL,DF,47377
4/2/2026,2014,6,ESPIRITO SANTO,ES,1870819
4/2/2026,2014,6,GOIAS,GO,10631699
4/2/2026,2014,6,MARANHAO,MA,3162629
4/2/2026,2014,6,MINAS GERAIS,MG,19539469
4/2/2026,2014,6,MATO GROSSO DO SUL,MS,8782687
4/2/2026,2014,6,MATO GROSSO,MT,2810309
4/2/2026,2014,6,PARA,PA,9059889
4/2/2026,2014,6,PARAIBA,PB,641470
4/2/2026,2014,6,PERNAMBUCO,PE,3400598
4/2/2026,2014,6,PIAUI,PI,318115
4/2/2026,2014,6,PARANA,PR,18234011
4/2/2026,2014,6,RIO DE JANEIRO,RJ,9058745
4/2/2026,2014,6,RIO GRANDE DO NORTE,RN,1415467
4/2/2026,2014,6,RONDONIA,RO,3409201
4/2/2026,2014,6,RORAIMA,RR,122610
4/2/2026,2014,6,RIO GRANDE DO SUL,RS,9199390
4/2/2026,2014,6,SANTA CATARINA,SC,7469074
4/2/2026,2014,6,SERGIPE,SE,3284279
4/2/2026,2014,6,SÃO PAULO,SP,25337669
4/2/2026,2014,6,TOCANTINS,TO,2988093
4/2/2026,2014,9,ACRE,AC,190896
4/2/2026,2014,9,ALAGOAS,AL,707376
4/2/2026,2014,9,AMAZONAS,AM,2262845
4/2/2026,2014,9,AMAPA,AP,425879
4/2/2026,2014,9,BAHIA,BA,8306071
4/2/2026,2014,9,CEARA,CE,3065780
4/2/2026,2014,9,DISTRITO FEDERAL,DF,47377
4/2/2026,2014,9,ESPIRITO SANTO,ES,1525929
4/2/2026,2014,9,GOIAS,GO,7240800
4/2/2026,2014,9,MARANHAO,MA,3052769
4/2/2026,2014,9,MINAS GERAIS,MG,15472693
4/2/2026,2014,9,MATO GROSSO DO SUL,MS,2090407
4/2/2026,2014,9,MATO GROSSO,MT,2807718
4/2/2026,2014,9,PARA,PA,9074721
4/2/2026,2014,9,PARAIBA,PB,641470
4/2/2026,2014,9,PERNAMBUCO,PE,3400960
4/2/2026,2014,9,PIAUI,PI,388115
4/2/2026,2014,9,PARANA,PR,16114439
4/2/2026,2014,9,RIO DE JANEIRO,RJ,8642984
4/2/2026,2014,9,RIO GRANDE DO NORTE,RN,1603703
4/2/2026,2014,9,RORAIMA,RR,4072261
4/2/2026,2014,9,RIO GRANDE DO SUL,RS,8086836
4/2/2026,2014,9,SANTA CATARINA,SC,4493416
4/2/2026,2014,9,SERGIPE,SE,3284279
4/2/2026,2014,9,SÃO PAULO,SP,22268753
4/2/2026,2014,9,TOCANTINS,TO,1901333
4/2/2026,2014,12,ACRE,AC,190896
4/2/2026,2014,12,ALAGOAS,AL,702276
4/2/2026,2014,12,AMAZONAS,AM,2258959
4/2/2026,2014,12,AMAPA,AP,843949
4/2/2026,2014,12,BAHIA,BA,8634216
4/2/2026,2014,12,CEARA,CE,3172245
4/2/2026,2014,12,DISTRITO FEDERAL,DF,47380
4/2/2026,2014,12,ESPIRITO SANTO,ES,1522435
4/2/2026,2014,12,GOIAS,GO,7313355
4/2/2026,2014,12,MARANHAO,MA,3053971
4/2/2026,2014,12,MINAS GERAIS,MG,15486809
4/2/2026,2014,12,MATO GROSSO DO SUL,MS,2100221
4/2/2026,2014,12,MATO GROSSO,MT,2842410
4/2/2026,2014,12,PARA,PA,9074721
4/2/2026,2014,12,PARAIBA,PB,641476
4/2/2026,2014,12,PERNAMBUCO,PE,3401067
4/2/2026,2014,12,PIAUI,PI,388115
4/2/2026,2014,12,PARANA,PR,16117214
4/2/2026,2014,12,RIO DE JANEIRO,RJ,8644056
4/2/2026,2014,12,RIO GRANDE DO NORTE,RN,2135054
4/2/2026,2014,12,RORAIMA,RR,4745751
4/2/2026,2014,12,RIO GRANDE DO SUL,RS,8185627
4/2/2026,2014,12,SANTA CATARINA,SC,4497740
4/2/2026,2014,12,SERGIPE,SE,3284279
4/2/2026,2014,12,SÃO PAULO,SP,22326018
4/2/2026,2014,12,TOCANTINS,TO,1902262
4/2/2026,2015,3,ACRE,AC,193477
4/2/2026,2015,3,ALAGOAS,AL,705636
4/2/2026,2015,3,AMAZONAS,AM,2258959
4/2/2026,2015,3,AMAPA,AP,927949
4/2/2026,2015,3,BAHIA,BA,8785046
4/2/2026,2015,3,CEARA,CE,3175645
4/2/2026,2015,3,DISTRITO FEDERAL,DF,50500
4/2/2026,2015,3,ESPIRITO SANTO,ES,1530781
4/2/2026,2015,3,GOIAS,GO,7323192
4/2/2026,2015,3,MARANHAO,MA,3064129
4/2/2026,2015,3,MINAS GERAIS,MG,15574450
4/2/2026,2015,3,MATO GROSSO DO SUL,MS,2106130
4/2/2026,2015,3,MATO GROSSO,MT,2893372
